seed,policy,profile,targets,cleared,all_cleared,virtual_time_s,move_distance_m,detect_count,switch_count,decision_steps
3080,fixed,uniform,13,13,True,7916.855608379832,34999.27804189914,154,82,0
3080,active,uniform,13,13,True,7698.536542671031,33727.68271335514,160,88,125
3081,fixed,uniform,10,10,True,7206.293210320624,31571.46605160311,150,92,0
3081,active,uniform,10,10,True,6881.291768108684,29796.458840543408,155,97,113
3082,fixed,uniform,16,16,True,9305.2064763944,41806.03238197195,160,64,0
3082,active,uniform,16,16,True,8530.967347805963,37729.83673902977,167,70,143
3083,fixed,uniform,16,16,True,8818.970756058985,38849.85378029487,177,84,0
3083,active,uniform,16,16,True,8728.664105809014,38128.320529045006,187,88,149
3084,fixed,uniform,14,14,True,8871.633056716522,39473.165283582566,165,82,0
3084,active,uniform,14,14,True,8551.869904629355,37579.34952314673,175,91,139
3085,fixed,uniform,10,10,True,6893.598790109121,29652.993950545588,162,103,0
3085,active,uniform,10,10,True,6928.86482573828,29594.32412869138,170,110,119
3086,fixed,uniform,11,11,True,7272.883799782583,31739.418998912894,155,95,0
3086,active,uniform,11,11,True,7302.883799782583,31739.41899891289,160,100,115
3087,fixed,uniform,14,14,True,8511.593051775671,38112.96525887832,150,69,0
3087,active,uniform,14,14,True,8136.551309765928,35937.7565488296,160,79,133
3088,fixed,uniform,13,13,True,7844.341064084028,34481.70532042012,160,83,0
3088,active,uniform,13,13,True,7847.0909886376485,34235.454943188226,169,90,133
3089,fixed,uniform,11,11,True,7757.656264221208,34223.28132110603,154,88,0
3089,active,uniform,11,11,True,7709.076075734066,33745.380378670314,162,95,123
3090,fixed,uniform,13,13,True,7991.7810613100155,35363.90530655005,155,79,0
3090,active,uniform,13,13,True,7542.164475058403,32885.822375291995,162,90,128
3091,fixed,uniform,11,11,True,7308.537492805624,31597.687464028106,166,104,0
3091,active,uniform,11,11,True,7341.138752818659,31555.69376409328,173,110,121
3092,fixed,uniform,10,10,True,6886.862282487954,29509.311412439754,165,110,0
3092,active,uniform,10,10,True,6878.5885011184155,29307.94250559206,170,117,113
3093,fixed,uniform,14,14,True,8772.485010690589,39402.42505345292,150,72,0
3093,active,uniform,14,14,True,8584.125931844823,38270.629659224076,156,80,128
3094,fixed,uniform,14,14,True,8238.075006200432,36595.37503100212,155,74,0
3094,active,uniform,14,14,True,8277.63025914781,36543.15129573902,164,79,133
3095,fixed,uniform,12,12,True,7729.848110762243,34104.24055381119,152,89,0
3095,active,uniform,12,12,True,7751.81778885547,34044.088944277326,158,93,118
3096,fixed,uniform,16,16,True,9434.067486821947,42540.33743410969,155,71,0
3096,active,uniform,16,16,True,9323.983642219597,41854.91821109795,159,78,131
3097,fixed,uniform,15,15,True,8755.57420122497,39027.87100612481,160,75,0
3097,active,uniform,15,15,True,8813.808009018127,39029.04004509059,171,78,140
3098,fixed,uniform,14,14,True,8577.897452904082,38144.487264520365,160,79,0
3098,active,uniform,14,14,True,7920.950605046986,34529.7530252349,171,90,137
3099,fixed,uniform,10,10,True,7108.682422058012,31113.41211029005,149,91,0
3099,active,uniform,10,10,True,7186.737369147838,31323.686845739183,155,97,112
3000,fixed,edge,15,15,True,8463.42211021074,37012.110551053665,179,91,0
3000,active,edge,15,15,True,8963.264815036999,39301.32407518495,186,98,142
3001,fixed,edge,12,12,True,8309.033239698128,36510.166198490595,170,97,0
3001,active,edge,12,12,True,8358.033239698128,36510.166198490595,179,101,133
3002,fixed,edge,11,11,True,7311.071760871478,31180.358804357365,181,115,0
3002,active,edge,11,11,True,7506.922719578168,31954.613597890813,188,121,128
3003,fixed,edge,14,14,True,8025.273807845415,34776.36903922704,180,100,0
3003,active,edge,14,14,True,7712.644691535245,32913.22345767619,190,110,142
3004,fixed,edge,13,13,True,7961.8075250169495,34084.0376250847,193,115,0
3004,active,edge,13,13,True,7955.521273133235,33797.60636566612,202,121,142
3005,fixed,edge,15,15,True,8759.949484080102,38124.74742040047,191,105,0
3005,active,edge,15,15,True,8412.84615182164,36049.23075910816,203,113,151
3006,fixed,edge,15,15,True,9672.743885770902,43093.71942885447,178,89,0
3006,active,edge,15,15,True,8534.777960416397,37098.88980208194,188,100,147
3007,fixed,edge,15,15,True,8641.146997115888,37675.7349855794,186,101,0
3007,active,edge,15,15,True,7835.782387027161,33443.91193513577,192,112,141
3008,fixed,edge,12,12,True,7588.15656571362,32725.782828568063,176,103,0
3008,active,edge,12,12,True,7457.22039145442,31816.101957272065,185,109,134
3009,fixed,edge,13,13,True,7899.403830884757,33947.01915442374,187,110,0
3009,active,edge,13,13,True,7870.8714431481985,33539.35721574095,196,118,140
3010,fixed,edge,15,15,True,8696.868337359738,38064.34168679864,183,94,0
3010,active,edge,15,15,True,7729.31907414303,32991.59537071512,191,101,145
3011,fixed,edge,11,11,True,7114.542224637518,30667.711123187575,165,101,0
3011,active,edge,11,11,True,7226.862789711995,31024.313948559953,172,107,122
3012,fixed,edge,12,12,True,7625.353994362044,32981.769971810194,173,104,0
3012,active,edge,12,12,True,7407.622543899196,31798.11271949597,176,108,125
3013,fixed,edge,15,15,True,8666.894189117886,38394.4709455894,166,83,0
3013,active,edge,15,15,True,8598.897796259433,37939.48898129714,169,91,131
3014,fixed,edge,10,10,True,6889.295575338777,29416.477876693865,168,116,0
3014,active,edge,10,10,True,6561.39405844939,27646.970292246933,172,122,110
3015,fixed,edge,15,15,True,8866.217808034467,38851.0890401723,185,96,0
3015,active,edge,15,15,True,8986.409417533017,39167.04708766505,195,103,149
3016,fixed,edge,15,15,True,9020.687829350529,39688.4391467526,183,93,0
3016,active,edge,15,15,True,8973.341538118299,39126.70769059145,194,103,150
3017,fixed,edge,15,15,True,9073.086145439343,40025.43072719667,180,93,0
3017,active,edge,15,15,True,8788.490903543825,38292.454517719074,190,105,146
3018,fixed,edge,13,13,True,7558.83780753385,32629.189037669214,173,103,0
3018,active,edge,13,13,True,7987.773101563107,34633.86550781549,177,111,127
3019,fixed,edge,12,12,True,7712.696728515279,33143.48364257637,182,114,0
3019,active,edge,12,12,True,7748.696728515279,33143.48364257637,188,120,128
3020,fixed,edge,13,13,True,7650.49643526003,32827.48217630013,182,110,0
3020,active,edge,13,13,True,7546.136020706344,32075.680103531697,189,121,133
3021,fixed,edge,14,14,True,8394.51336401824,36667.56682009118,178,101,0
3021,active,edge,14,14,True,8330.436161988728,36107.18080994362,186,109,136
3022,fixed,edge,13,13,True,8147.680600075473,35703.40300037732,169,97,0
3022,active,edge,13,13,True,7797.095486399896,33725.47743199945,177,102,130
3023,fixed,edge,14,14,True,8350.938994568474,36309.69497284233,183,104,0
3023,active,edge,14,14,True,8557.947693578855,37099.73846789423,191,113,139
3024,fixed,edge,11,11,True,6588.670564847341,27783.35282423669,173,112,0
3024,active,edge,11,11,True,7091.694177605905,30098.470888029515,180,117,121
3025,fixed,edge,10,10,True,6507.869404284185,27589.347021420916,166,110,0
3025,active,edge,10,10,True,6223.183378542649,26030.916892713238,170,117,113
3026,fixed,edge,14,14,True,8276.06976913302,36210.348845665074,174,94,0
3026,active,edge,14,14,True,8405.555649679602,36572.778248397975,184,101,139
3027,fixed,edge,11,11,True,7025.775401873067,30008.877009365315,172,109,0
3027,active,edge,11,11,True,6887.626313985666,29118.13156992831,179,114,124
3028,fixed,edge,15,15,True,9022.688994046692,40353.444970233424,160,77,0
3028,active,edge,15,15,True,7624.271594738486,33066.3579736924,169,91,135
3029,fixed,edge,14,14,True,8450.381509687091,37211.90754843544,169,93,0
3029,active,edge,14,14,True,8183.791237426173,35688.95618713084,175,101,132
3030,fixed,edge,11,11,True,7033.621419810674,30238.107099053348,166,101,0
3030,active,edge,11,11,True,7026.620339275638,29998.10169637817,173,107,123
3031,fixed,edge,15,15,True,9460.292914400172,42186.46457200081,172,88,0
3031,active,edge,15,15,True,8808.919681744283,38759.59840872137,177,97,136
3032,fixed,edge,11,11,True,7465.828343326483,32344.141716632384,168,102,0
3032,active,edge,11,11,True,7490.715804725178,32258.579023625858,175,109,125
3033,fixed,edge,16,16,True,9606.110012370349,42545.55006185169,184,97,0
3033,active,edge,16,16,True,9590.072112809501,42295.36056404745,190,101,143
3034,fixed,edge,14,14,True,8228.679318834977,35853.39659417484,178,98,0
3034,active,edge,14,14,True,7678.539845177843,32917.699225889184,184,105,135
3035,fixed,edge,14,14,True,8340.13412235933,36915.67061179663,160,87,0
3035,active,edge,14,14,True,8330.718807841797,36658.59403920895,167,94,128
3036,fixed,edge,15,15,True,9311.89748652865,41159.4874326432,182,95,0
3036,active,edge,15,15,True,8700.915600291226,37824.57800145607,191,106,146
3037,fixed,edge,15,15,True,8706.576247586703,38422.88123793346,171,92,0
3037,active,edge,15,15,True,9212.292582640364,40696.46291320178,180,98,137
3038,fixed,edge,11,11,True,7284.6745663664915,31198.372831832432,176,110,0
3038,active,edge,11,11,True,7323.6745663664915,31198.372831832436,183,114,128
3039,fixed,edge,10,10,True,6521.033851437846,27615.169257189224,167,113,0
3039,active,edge,10,10,True,6525.744827112372,27593.724135561853,168,117,110
3040,fixed,edge,14,14,True,8409.053250530804,36660.26625265398,181,102,0
3040,active,edge,14,14,True,8241.016028022295,35550.08014011144,190,111,140
3041,fixed,edge,10,10,True,6945.751846773546,29723.75923386771,168,111,0
3041,active,edge,10,10,True,6785.042857266848,28715.214286334216,175,117,118
3042,fixed,edge,13,13,True,7517.975365463086,32454.876827315395,173,97,0
3042,active,edge,13,13,True,7439.668833005483,31818.344165027385,182,101,135
3043,fixed,edge,14,14,True,9229.004366686682,40975.02183343337,174,94,0
3043,active,edge,14,14,True,9263.510997980853,40957.55498990421,180,102,137
3044,fixed,edge,13,13,True,8129.830333572723,35589.151667863574,170,97,0
3044,active,edge,13,13,True,8168.95169244069,35584.758462203405,176,107,128
3045,fixed,edge,12,12,True,7969.479140758436,34667.39570379214,174,106,0
3045,active,edge,12,12,True,7764.167968811078,33465.83984405535,179,116,127
3046,fixed,edge,10,10,True,6741.679043449507,28673.395217247522,169,112,0
